index_start,index_end,count,timestamp_start,timestamp_end,min_lat,max_lat,min_long,max_long,dif_lat,dif_long,buoy_id
1,5795,5795,1980-03-07,1998-05-03,-0.09,0.85,-110.18,-105.82,0.94,4.36,1
5796,10278,4483,1983-10-30,1998-06-12,-0.3,0.19,-125.0,-124.28,0.49,0.72,2
10279,15098,4820,1983-04-16,1998-06-09,-0.17,0.07,-140.26,-139.85,0.24,0.41,3
15099,15531,433,1992-04-26,1994-05-04,-0.02,0.03,142.94,143.04,0.05,0.1,4
15532,16705,1174,1994-04-27,1998-06-13,-0.88,0.31,142.41,151.69,1.19,9.28,5
16706,17048,343,1992-05-06,1993-06-02,-0.3,0.26,153.95,158.86,0.56,4.91,6
17049,19568,2520,1991-07-21,1998-06-13,-0.02,0.06,-155.04,-154.0,0.08,1.04,7
19569,21645,2077,1991-08-29,1998-06-13,-0.28,1.15,155.0,157.75,1.43,2.75,8
21646,22103,458,1992-09-15,1993-12-16,-0.02,0.01,157.49,157.53,0.03,0.04,9
22104,22471,368,1992-05-10,1993-05-12,-0.04,0.0,160.53,160.59,0.04,0.06,10
22472,26351,3880,1986-04-21,1998-06-14,-0.8,1.06,160.14,169.9,1.86,9.76,11
26352,26862,511,1992-05-13,1993-10-05,-0.16,0.62,169.12,171.08,0.78,1.96,12
26863,30406,3544,1988-05-16,1998-06-14,-0.07,0.06,-170.1,-169.47,0.13,0.63,13
30407,33351,2945,1986-03-23,1998-06-14,-0.03,0.2,-180.0,-176.48,0.23,3.52,14
33352,35725,2374,1981-07-05,1998-06-13,-0.44,0.35,-96.12,-94.77,0.79,1.35,15
35726,36697,972,1989-05-26,1992-09-21,1.0,1.0,154.83,154.83,0.0,0.0,16
36698,39527,2830,1986-01-01,1994-07-29,-0.5,-0.5,166.92,166.92,0.0,0.0,17
39528,43739,4212,1985-11-10,1998-06-10,1.98,2.34,-111.18,-110.0,0.36,1.18,18
43740,45842,2103,1991-12-06,1998-06-13,1.37,2.01,-129.83,-124.96,0.64,4.87,19
45843,47704,1862,1992-04-22,1998-06-15,1.78,2.82,136.95,138.82,1.04,1.87,20
47705,51360,3656,1986-10-28,1998-06-15,1.91,2.58,-141.32,-139.95,0.67,1.37,21
51361,52524,1164,1990-02-17,1997-02-15,1.9,3.49,146.97,147.75,1.59,0.78,22
52525,54907,2383,1991-07-19,1998-06-15,1.73,2.69,-155.12,-152.41,0.96,2.71,23
54908,56758,1851,1991-08-30,1998-06-15,0.58,2.98,151.21,161.05,2.4,9.84,24
56759,58764,2006,1985-04-01,1990-12-31,1.75,1.75,-157.33,-157.33,0.0,0.0,25
58765,62677,3913,1985-07-09,1998-03-11,1.41,2.13,164.22,166.15,0.72,1.93,26
62678,64688,2011,1992-03-06,1998-06-17,1.93,2.91,-174.3,-169.91,0.98,4.39,27
64689,66468,1780,1993-03-28,1998-05-25,1.97,2.04,-180.0,-179.76,0.07,0.24,28
66469,67881,1413,1992-11-16,1998-06-15,1.78,2.93,-98.29,-94.7,1.15,3.59,29
67882,72130,4249,1985-06-05,1998-06-19,-2.85,-1.46,-112.26,-109.9,1.39,2.36,30
72131,74549,2419,1991-11-05,1998-06-19,-2.13,-1.59,-125.04,-124.81,0.54,0.23,31
74550,78471,3922,1986-06-13,1998-06-20,-2.25,-1.25,-144.92,-137.85,1.0,7.07,32
78472,80579,2108,1991-07-22,1998-06-13,-2.05,-1.95,-155.11,-154.92,0.1,0.19,33
80580,82888,2309,1991-08-28,1998-06-20,-2.89,-1.9,153.73,156.08,0.99,2.35,34
82889,87047,4159,1985-07-05,1998-05-31,-2.14,-1.78,164.32,165.28,0.36,0.96,35
87048,89317,2270,1992-03-10,1998-06-20,-2.67,-1.57,-174.63,-169.99,1.1,4.64,36
89318,91209,1892,1993-03-26,1998-06-15,-2.02,-1.94,-180.0,-179.82,0.08,0.18,37
91210,93184,1975,1992-11-14,1998-06-19,-2.03,-1.85,-95.34,-94.95,0.18,0.39,38
93185,97331,4147,1985-11-09,1998-06-19,4.96,5.41,-110.08,-105.19,0.45,4.89,39
97332,99492,2161,1991-12-07,1998-06-20,5.0,5.37,-125.05,-124.82,0.37,0.23,40
99493,100183,691,1993-04-30,1996-07-10,4.93,5.03,136.97,137.07,0.1,0.1,41
100184,103491,3308,1988-05-28,1998-06-20,4.86,5.26,-140.09,-139.8,0.4,0.29,42
103492,106145,2654,1990-02-19,1998-06-21,4.93,5.94,146.97,149.86,1.01,2.89,43
106146,108676,2531,1991-07-18,1998-06-21,4.95,5.08,-155.0,-154.85,0.13,0.15,44
108677,110979,2303,1991-08-31,1998-06-15,4.96,5.03,155.96,156.42,0.07,0.46,45
110980,114635,3656,1988-02-02,1998-06-21,4.88,5.12,164.94,165.16,0.24,0.22,46
114636,116851,2216,1992-03-05,1998-06-21,4.95,5.05,-170.01,-169.91,0.1,0.1,47
116852,118624,1773,1993-03-29,1998-02-03,4.95,5.05,-180.0,-179.71,0.1,0.29,48
118625,120130,1506,1994-04-19,1998-06-14,4.98,5.41,-95.02,-94.83,0.43,0.19,49
120131,124092,3962,1985-11-14,1998-06-20,-5.06,-4.95,-110.09,-109.79,0.11,0.3,50
124093,126045,1953,1991-11-04,1998-06-20,-5.06,-4.07,-126.18,-124.82,0.99,1.36,51
126046,128836,2791,1990-10-31,1998-06-21,-5.05,-4.94,-140.04,-139.84,0.11,0.2,52
128837,131356,2520,1991-07-23,1998-06-15,-5.16,-4.8,-155.04,-154.76,0.36,0.28,53
131357,133448,2092,1991-08-26,1998-01-20,-5.03,-4.49,155.49,156.05,0.54,0.56,54
133449,136960,3512,1987-01-29,1998-06-22,-5.07,-4.22,162.78,165.24,0.85,2.46,55
136961,138935,1975,1992-08-22,1998-06-22,-5.04,-4.97,-170.04,-169.97,0.07,0.07,56
138936,140649,1714,1993-03-25,1998-06-15,-5.04,-4.95,-180.0,-179.76,0.09,0.24,57
140650,142148,1499,1994-04-23,1998-05-30,-5.04,-4.92,-95.21,-94.98,0.12,0.23,58
142149,142691,543,1988-12-03,1990-10-12,6.94,7.24,-132.62,-132.0,0.3,0.62,59
142692,143278,587,1994-12-07,1996-12-25,6.64,6.8,137.52,137.7,0.16,0.18,60
143279,144185,907,1988-05-29,1991-04-29,6.93,7.07,-140.18,-139.95,0.14,0.23,61
144186,144777,592,1988-11-28,1990-11-04,6.95,7.08,-147.53,-147.0,0.13,0.53,62
144778,147208,2431,1991-10-26,1998-06-21,7.98,8.07,-110.18,-110.0,0.09,0.18,63
147209,149129,1921,1992-10-01,1998-05-15,7.97,8.23,-125.08,-124.85,0.26,0.23,64
149130,150899,1770,1992-08-11,1998-06-15,7.92,8.98,-155.09,-153.79,1.06,1.3,65
150900,151887,988,1994-12-18,1998-06-22,7.98,8.1,155.98,156.05,0.12,0.07,66
151888,154969,3082,1989-07-16,1998-06-22,7.9,8.1,164.93,165.16,0.2,0.23,67
154970,157096,2127,1992-08-26,1998-06-22,7.95,8.04,-170.08,-169.99,0.09,0.09,68
157097,158588,1492,1993-11-30,1998-06-15,7.95,8.02,-180.0,-179.8,0.07,0.2,69
158589,159855,1267,1994-08-08,1998-06-22,7.91,8.22,-98.99,-94.77,0.31,4.22,70
159856,162644,2789,1985-11-15,1998-06-22,-8.1,-7.98,-110.0,-109.9,0.12,0.1,71
162645,164734,2090,1992-09-22,1998-06-22,-8.04,-7.03,-125.49,-124.71,1.01,0.78,72
164735,166965,2231,1992-03-15,1998-06-15,-8.33,-8.0,-155.08,-154.91,0.33,0.17,73
166966,169266,2301,1991-08-11,1998-06-22,-8.81,-7.95,163.18,165.03,0.86,1.85,74
169267,171399,2133,1992-08-21,1998-06-23,-8.09,-7.96,-170.1,-170.0,0.13,0.1,75
171400,173064,1665,1993-11-21,1998-06-22,-8.04,-7.96,-180.0,-179.81,0.08,0.19,76
173065,174466,1402,1994-08-14,1998-06-15,-8.05,-7.95,-95.13,-95.0,0.1,0.13,77
174467,178080,3614,1988-05-31,1998-06-15,8.91,9.05,-140.34,-140.0,0.14,0.34,78
