DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-11-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
0,20949,N,25158,N,29606,28040,28894,23960,26205,25271,26743,27446,29308,29593,29442,N,20795,22239,26054,28083,30524,28719,28671,19616,27096,27752,28294,28431,29702,30215,29937,N,23587,25926,26511,28375,N,28798,N,21175,27793,28155,N,30199,29507,N,27649,24212,25188,28601,29856,29450,30803,21997,28531
600,20960,N,N,N,29623,28042,28889,23961,26203,25267,26737,27446,29311,29591,29448,N,20796,22239,26052,28078,30522,28717,28859,19615,N,27752,N,28429,29706,30212,30631,N,23586,N,26510,28372,N,28798,N,21176,N,28153,N,30191,29716,N,27636,24210,25188,28602,29862,29450,30800,21995,28530
600,20971,N,25160,N,29641,28045,28884,23963,26202,25262,26732,27446,29314,29589,29455,N,20798,22238,26050,28073,30520,28715,28755,19613,27066,27751,28296,28428,29710,30209,30337,N,23586,25935,26510,28369,N,28799,N,21177,27799,28151,N,30182,29574,N,27623,24209,25189,28603,29868,29449,30797,21993,28530
600,20982,N,25158,N,29658,28047,28880,23964,26200,25258,26726,27446,29317,29587,29461,N,20799,22238,26049,28068,30518,28714,28727,19612,27066,27751,28281,28426,29715,30207,30337,N,23585,25931,26509,28366,N,28799,N,21179,27796,28150,N,30174,29932,N,27610,24207,25189,28603,29874,29449,30794,21992,28529
600,20993,N,25156,N,29676,28049,28875,23965,26199,25253,26721,27445,29320,29585,29467,N,20801,22237,26047,28062,30516,28712,28700,19611,27065,27750,28265,28424,29719,30204,30337,N,23584,25928,26508,28363,N,28799,N,21180,27793,28148,N,30165,29643,N,27598,24206,25189,28604,29880,29449,30791,21990,28529
600,21003,N,25153,N,29693,28052,28870,23966,26197,25249,26715,27445,29323,29583,29473,N,20802,22237,26045,28057,30514,28710,28672,19609,27065,27750,28250,28423,29723,30201,30337,N,23584,25924,26507,28360,N,28800,N,21181,27790,28146,N,30157,29659,N,27585,24204,25190,28605,29886,29449,30787,21988,28528
600,21014,N,25151,N,29711,28054,28865,23968,26196,25244,26709,27445,29326,29581,29480,N,20803,22237,26043,28052,30512,28708,28645,19608,27064,27749,28234,28421,29727,30198,30337,N,23583,25920,26507,28357,N,28800,N,21182,27787,28144,N,30148,29675,N,27572,24203,25190,28606,29891,29448,30784,21986,28528
600,21025,N,N,N,29728,28057,28861,23969,26194,25240,26704,27445,29329,29579,29486,N,20805,22236,26042,28047,30510,28706,28617,19607,N,27749,28219,28419,29732,30196,30336,N,23582,N,26506,28355,N,28800,N,21183,N,28143,N,30140,30101,N,27559,24201,25190,28606,29897,29448,30781,21984,28527
600,21036,N,25175,N,29746,28059,28856,23970,26192,25235,26698,27445,29332,29577,29492,N,20806,22236,26040,28042,30508,28704,28679,19605,27058,27748,28203,28418,29736,30193,30336,N,23581,25871,26505,28352,N,28801,N,21185,27787,28141,N,30131,29860,N,27546,24200,25191,28607,29903,29448,30778,21983,28527
600,21047,N,25168,N,29763,28061,28851,23971,26191,25231,26693,27445,29335,29575,29498,N,20808,22235,26038,28037,30506,28703,28829,19604,27060,27748,28188,28416,29740,30190,30336,N,23581,25849,26505,28349,N,28801,N,21186,27783,28139,N,30123,29618,N,27533,24198,25191,28608,29909,29447,30775,21981,28526
