DATASET:,NOAA
FILENAME:,TAO_T0N110W_R_SST_10min.ascii
Timestamp,SST
2016-01-01 00:00:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
00:10:00,N
