DATASET:,Climaps
FILENAME:,station_1957.csv
Timestamp,Humidity,Temperature,Vapor Pressure,Wet-bulb Temperature,Wind Direction,Wind Speed [avg],Wind Speed [max],Wind Speed [min]
2018-01-01 00:00:00,0.0,110.0,82.0,110.0,6514.0,127.0,359.0,944.0
00:01:00,0.0,110.0,82.0,110.0,6510.0,135.0,344.0,672.0
00:01:00,0.0,110.0,82.0,110.0,6610.0,165.0,287.0,684.0
00:01:00,0.0,111.0,82.0,111.0,6409.0,145.0,292.0,696.0
00:01:00,0.0,111.0,82.0,111.0,6589.0,135.0,328.0,751.0
00:01:00,0.0,111.0,82.0,111.0,6651.0,153.0,261.0,566.0
00:01:00,0.0,111.0,82.0,111.0,6417.0,164.0,314.0,563.0
00:01:00,0.0,111.0,82.0,111.0,6314.0,180.0,265.0,503.0
00:01:00,0.0,111.0,82.0,111.0,6414.0,144.0,285.0,991.0
00:01:00,0.0,111.0,82.0,111.0,6411.0,130.0,340.0,783.0
00:01:00,0.0,111.0,82.0,111.0,6386.0,120.0,387.0,1033.0
00:01:00,0.0,111.0,82.0,111.0,6331.0,106.0,364.0,1067.0
00:01:00,0.0,111.0,82.0,111.0,6010.0,121.0,371.0,910.0
00:01:00,0.0,111.0,82.0,111.0,5919.0,129.0,394.0,725.0
00:01:00,0.0,111.0,82.0,111.0,5889.0,124.0,410.0,717.0
00:01:00,0.0,111.0,83.0,111.0,5873.0,154.0,265.0,862.0
00:01:00,0.0,111.0,83.0,111.0,5893.0,115.0,412.0,795.0
00:01:00,0.0,111.0,83.0,111.0,5968.0,125.0,409.0,781.0
00:01:00,0.0,111.0,83.0,111.0,6076.0,130.0,366.0,985.0
00:01:00,0.0,111.0,83.0,111.0,6138.0,103.0,519.0,817.0
00:01:00,0.0,110.0,83.0,110.0,6139.0,96.0,496.0,953.0
00:01:00,0.0,110.0,83.0,110.0,6140.0,99.0,385.0,2047.0
00:01:00,0.0,110.0,83.0,110.0,6166.0,104.0,414.0,941.0
00:01:00,0.0,110.0,84.0,110.0,6213.0,150.0,275.0,642.0
